date,location,new_cases,new_deaths,total_cases,total_deaths,mortality,
30/7/2020,Mozambique,28,0,1748,11,0.6,
30/7/2020,Yemen,16,1,1711,485,28.3,
30/7/2020,Suriname,97,2,1607,26,1.6,
30/7/2020,Tunisia,20,0,1488,50,3.4,
30/7/2020,Uruguay,19,0,1237,35,2.8,
30/7/2020,Latvia,4,0,1224,31,2.5,
30/7/2020,New Zealand,1,0,1210,22,1.8,
30/7/2020,Jordan,5,0,1187,11,0.9,
30/7/2020,Liberia,2,0,1179,72,6.1,
30/7/2020,Georgia,0,1,1155,17,1.5,
30/7/2020,Uganda,5,0,1140,2,0.2,
30/7/2020,Niger,2,0,1134,69,6.1,
30/7/2020,Burkina Faso,11,0,1117,53,4.7,
30/7/2020,Cyprus,13,0,1080,19,1.8,
30/7/2020,Angola,50,6,1000,47,4.7,
30/7/2020,Chad,0,0,926,75,8.1,
30/7/2020,Andorra,11,0,918,52,5.7,
30/7/2020,Togo,0,0,896,18,2.0,
30/7/2020,Sao Tome and Principe,1,1,868,15,1.7,
30/7/2020,Jamaica,1,0,856,10,1.2,
30/7/2020,Botswana,65,0,804,2,0.2,
30/7/2020,Malta,78,0,786,9,1.1,
30/7/2020,Western Sahara,0,0,766,1,0.1,
30/7/2020,Syria,23,0,717,40,5.6,
30/7/2020,San Marino,0,0,716,42,5.9,
30/7/2020,Lesotho,71,1,576,13,2.3,
30/7/2020,Tanzania,0,0,509,21,4.1,
30/7/2020,Bahamas,37,0,484,11,2.3,
30/7/2020,Taiwan,0,0,467,7,1.5,
30/7/2020,Vietnam,26,0,459,0,0.0,
30/7/2020,Guyana,2,0,398,20,5.0,
30/7/2020,Burundi,9,0,387,1,0.3,
30/7/2020,United States Virgin Islands,0,0,385,8,2.1,
30/7/2020,Comoros,38,0,378,7,1.9,
30/7/2020,Guam,3,0,354,5,1.4,
30/7/2020,Myanmar,2,0,353,6,1.7,
30/7/2020,Mauritius,0,0,344,10,2.9,
30/7/2020,Isle of Man,0,0,336,24,7.1,
30/7/2020,Jersey,0,0,335,31,9.3,
30/7/2020,Gambia,0,0,326,8,2.5,
30/7/2020,Mongolia,0,0,291,0,0.0,
30/7/2020,Eritrea,0,0,265,0,0.0,
30/7/2020,Guernsey,0,0,252,13,5.2,
30/7/2020,Cambodia,8,0,234,0,0.0,
30/7/2020,Faeroe Islands,0,0,220,0,0.0,
30/7/2020,Cayman Islands,0,0,203,1,0.5,
30/7/2020,Gibraltar,0,0,186,0,0.0,
30/7/2020,Bermuda,0,0,156,9,5.8,
30/7/2020,Trinidad and Tobago,2,0,156,8,5.1,
30/7/2020,Brunei,0,0,141,3,2.1,
30/7/2020,Sint Maarten (Dutch part),0,0,121,15,12.4,
30/7/2020,Monaco,2,0,120,5,4.2,
30/7/2020,Aruba,0,0,119,3,2.5,
30/7/2020,Seychelles,0,0,114,0,0.0,
30/7/2020,Barbados,0,0,110,7,6.4,
30/7/2020,Bhutan,2,0,101,0,0.0,
30/7/2020,Turks and Caicos Islands,0,0,99,2,2.0,
30/7/2020,Antigua and Barbuda,5,0,91,3,3.3,
30/7/2020,Liechtenstein,1,0,88,1,1.1,
30/7/2020,Papua New Guinea,0,1,63,2,3.2,
30/7/2020,French Polynesia,0,0,62,0,0.0,
30/7/2020,Saint Vincent and the Grenadines,0,0,52,0,0.0,
30/7/2020,Belize,0,0,48,2,4.2,
30/7/2020,Northern Mariana Islands,2,0,42,2,4.8,
30/7/2020,Curacao,0,0,29,1,3.4,
30/7/2020,Fiji,0,0,27,0,0.0,
30/7/2020,Grenada,1,0,24,0,0.0,
30/7/2020,Saint Lucia,0,0,24,0,0.0,
30/7/2020,Timor,0,0,24,0,0.0,
30/7/2020,New Caledonia,0,0,22,0,0.0,
30/7/2020,Laos,0,0,20,0,0.0,
30/7/2020,Dominica,0,0,18,0,0.0,
30/7/2020,Saint Kitts and Nevis,0,0,17,0,0.0,
30/7/2020,Greenland,0,0,14,0,0.0,
30/7/2020,Falkland Islands,0,0,13,0,0.0,
30/7/2020,Montserrat,0,0,13,1,7.7,
30/7/2020,Vatican,0,0,12,0,0.0,
30/7/2020,Bonaire Sint Eustatius and Saba,0,0,11,0,0.0,
30/7/2020,British Virgin Islands,0,0,8,1,12.5,
30/7/2020,Anguilla,0,0,3,0,0.0,
